nombre_desarrollo;desarrollador;nombre de la tipolog¡a;numero de habitaciones;Niveles_departamento;metros_cuadrados;T.C.;precio_en_pesos;precio_en_dolares;pesos_por_metro_cuadrado;numero_de_unidades;Alberca;sun_deck;asadores;suites_de_huespedes;salon_de_juegos;lounge;terraza;gimnasio;lavander¡a;elevadores_de_alta_velocidad;estacionamiento_para_visitas;bodegas;sky_deck;salon_de_usos_multiples;fogateros;caf‚_y_patio;area_de_carga_y_descarga;recepci¢n_con_front_desk;concierge;tecnolog¡a_residencial;control_de_acceso;Raquetbol;Jacuzzi;Sauna;corredor_de_lectura;zona_barr‚;studio_yoga;cancha_de_tenis;area_de_bar_con_tv_para_eventos_deportivos;Room_services_de_cocina_privada;Sistema_de_audio_bose_en_areas_comunes;area_de_juegos_para_ni¤os;guarderia;pet_yard;acondicionado_para_silla_de_ruedas;WI-FI gratis en espacios comunes;alberca_con_tobogan;salon_para_tareas;pista_de_patinaje;chapoteadero_para_bebes;Brincol¡n;Circuito_de_crossfit;terraza_para_ejercicio_al_aire_libre
Adamant;milk LIFE INVESTMENTS;mansion 1;2;1;160;18,5;;;$0,00;2;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;mansion 2;2;1;129;18,5;;;$0,00;2;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;mansion 3;2;1;129;18,5;$5.717.000,00;$309.027,03;$44.317,83;2;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Life by COSMOPOLITAN;CIVSA;Modelo 1;1;1;55,69;18,5;$2.403.150,00;$129.900,00;$43.152,27;44;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Life by COSMOPOLITAN;CIVSA;Modelo 2;2;1;86,07;18,5;$3.690.750,00;$199.500,00;$42.880,79;44;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Life by COSMOPOLITAN;CIVSA;Modelo 2;2;1;77,6;18,5;$3.154.250,00;$170.500,00;$40.647,55;44;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Life by COSMOPOLITAN;CIVSA;Modelo 2;2;1;77,6;18,5;$3.339.250,00;$180.500,00;$43.031,57;44;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Life by COSMOPOLITAN;CIVSA;Modelo 2;2;1;77,06;18,5;$3.383.650,00;$182.900,00;$43.909,29;44;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Life by COSMOPOLITAN;CIVSA;Modelo 2;2;1;77,06;18,5;$3.413.250,00;$184.500,00;$44.293,41;44;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Life by COSMOPOLITAN;CIVSA;Modelo 2;2;1;77,06;18,5;$3.468.750,00;$187.500,00;$45.013,63;44;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
